,Date (America/Chicago),"House 1, Floor 1, Room 1 Temperature shock - color","House 1, Floor 1, Room 1 Temperature - data","House 1, Floor 1, Room 1 ReHS - color","House 1, Floor 1, Room 1 ReHS - data","House 1, Floor 1, Room 2 Temperature shock - color","House 1, Floor 1, Room 2 Temperature - data","House 1, Floor 1, Room 2 ReHS - color","House 1, Floor 1, Room 2 ReHS - data"
161,2020-12-21,green,,blue,,green,,blue,
162,2020-12-22,green,,blue,,green,,blue,
163,2020-12-23,green,,blue,,green,,blue,
164,2020-12-24,blue,,blue,,blue,,blue,
165,2020-12-25,blue,,blue,,blue,,blue,
166,2020-12-26,blue,,blue,,blue,,blue,
167,2020-12-27,blue,,blue,,blue,,blue,
168,2020-12-28,blue,,blue,,blue,,blue,
169,2020-12-29,blue,,blue,,blue,,blue,
170,2020-12-30,blue,,blue,,blue,,blue,
171,2020-12-31,blue,,blue,,blue,,blue,
172,2021-01-01,blue,,blue,,blue,,blue,
173,2021-01-02,blue,,blue,,blue,,blue,
174,2021-01-03,blue,,blue,,blue,,blue,
175,2021-01-04,blue,,blue,,blue,,blue,
0,2021-01-05,green,13.95,green,,yellow,32.73,green,
1,2021-01-06,green,13.85,green,97.0,green,32.39,green,96.0
2,2021-01-07,red,16.74,green,97.0,green,31.87,green,98.0
3,2021-01-08,green,29.57,green,98.0,green,31.19,green,98.0
4,2021-01-09,green,30.33,yellow,82.0,yellow,30.97,green,93.0
5,2021-01-10,yellow,30.75,green,52.0,green,30.83,green,98.0
6,2021-01-11,green,30.18,green,79.0,yellow,30.9,green,98.0
7,2021-01-12,green,29.74,green,95.0,green,30.86,green,97.0
8,2021-01-13,green,29.81,green,91.0,yellow,30.53,green,95.0
9,2021-01-14,green,29.81,green,92.0,yellow,30.31,green,97.0
10,2021-01-15,green,29.85,green,97.0,green,30.26,green,99.0
11,2021-01-16,green,29.95,green,97.0,yellow,30.14,green,98.0
12,2021-01-17,green,30.11,green,99.0,yellow,29.9,green,98.0
13,2021-01-18,green,29.87,green,97.0,yellow,29.63,green,99.0
14,2021-01-19,green,29.92,green,98.0,green,29.34,green,99.0
15,2021-01-20,green,30.03,green,96.0,yellow,29.22,green,98.0
16,2021-01-21,yellow,29.39,green,98.0,green,28.3,green,99.0
17,2021-01-22,green,29.87,green,98.0,green,28.2,green,99.0
18,2021-01-23,green,29.4,green,98.0,yellow,27.77,green,97.0
19,2021-01-24,yellow,28.13,green,96.0,yellow,26.7,green,99.0
20,2021-01-25,green,26.83,green,97.0,yellow,26.39,green,98.0
21,2021-01-26,yellow,27.17,green,97.0,yellow,25.91,green,99.0
22,2021-01-27,green,28.08,green,96.0,yellow,26.25,green,99.0
23,2021-01-28,green,27.81,green,99.0,yellow,25.78,green,99.0
24,2021-01-29,green,27.36,green,98.0,yellow,25.19,green,99.0
25,2021-01-30,green,26.61,green,99.0,yellow,23.47,green,99.0
26,2021-01-31,green,26.19,green,95.0,green,24.86,green,98.0
27,2021-02-01,green,26.04,green,98.0,yellow,24.07,green,99.0
28,2021-02-02,green,25.97,green,98.0,green,24.79,green,98.0
29,2021-02-03,green,25.68,green,98.0,green,24.1,green,99.0
30,2021-02-04,green,25.15,green,99.0,green,23.19,green,98.0
31,2021-02-05,green,25.95,green,99.0,yellow,23.03,green,99.0
32,2021-02-06,green,26.36,green,97.0,yellow,22.03,green,96.0
33,2021-02-07,green,25.97,green,99.0,green,24.15,green,99.0
34,2021-02-08,green,25.23,green,98.0,green,24.75,green,97.0
35,2021-02-09,green,25.01,green,96.0,green,23.34,green,97.0
36,2021-02-10,green,24.97,green,97.0,green,22.33,green,98.0
37,2021-02-11,green,24.73,green,98.0,green,23.17,green,96.0
38,2021-02-12,green,24.25,green,94.0,green,22.81,green,97.0
39,2021-02-13,green,23.74,green,99.0,green,22.74,green,98.0
40,2021-02-14,green,23.29,green,96.0,green,22.77,green,96.0
41,2021-02-15,green,22.99,green,98.0,green,22.99,green,97.0
42,2021-02-16,green,23.06,green,91.0,green,22.8,green,95.0
43,2021-02-17,yellow,23.12,green,95.0,green,22.81,green,97.0
44,2021-02-18,green,23.03,green,94.0,green,22.65,green,96.0
45,2021-02-19,yellow,22.72,green,96.0,yellow,22.17,green,97.0
46,2021-02-20,yellow,22.63,green,88.0,green,22.95,green,97.0
47,2021-02-21,green,22.55,green,95.0,green,23.72,green,96.0
48,2021-02-22,green,22.73,green,97.0,green,24.71,green,99.0
49,2021-02-23,yellow,22.57,green,99.0,green,24.21,green,99.0
